"","profundidad","Edad_del_hielo","Edad_del_gas","delta.D","polvo","CO2","CH4","TEMP_δD"
"133",1450,102.08,98.83,-468.1,72,225.63,479.35,-60.1833333333333
"134",1460,102.97,99.67,-466.45,73.91,226.38,509.63,-59.9083333333333
"135",1470,103.87,100.52,-469.43,37.55,228.01,506.34,-60.405
"136",1480,104.78,101.39,-466.93,27.87,230.58,501.91,-59.9883333333333
"137",1490,105.71,102.28,-468.74,40.04,234.62,524.74,-60.29
"138",1500,106.65,103.17,-469.11,39,238.44,547.58,-60.3516666666667
"139",1510,107.64,104.1,-484.17,35.17,236.94,566.55,-62.8616666666667
"140",1520,108.62,105.03,-481.53,36.48,235.44,581.64,-62.4216666666667
"141",1530,109.6,105.98,-479.63,26.35,236.2,573.31,-62.105
"142",1540,110.57,106.96,-476.4,27.22,240.79,463.41,-61.5666666666667
"143",1550,111.53,107.95,-478.78,17,242.88,444.23,-61.9633333333333
"144",1560,112.45,108.97,-480.79,10.26,239.16,452.74,-62.2983333333333
"145",1570,113.37,109.98,-479.64,17.22,235.43,459.43,-62.1066666666667
"146",1580,114.27,110.97,-473.94,22.71,234.87,466.13,-61.1566666666667
"147",1590,115.15,111.93,-468.3,23.89,237.72,463.5,-60.2166666666667
"148",1600,116.02,112.88,-468.07,32,242.53,457.25,-60.1783333333333
"149",1610,116.85,113.79,-460.36,13.4,255.16,451,-58.8933333333333
"150",1620,117.68,114.7,-458.29,16.43,267.79,445.98,-58.5483333333333
"151",1630,118.5,115.59,-451.61,27.86,275.36,453.58,-57.435
"152",1640,119.29,116.46,-452.02,10,273.52,490.88,-57.5033333333333
"153",1650,120.09,117.32,-448.9,23,271.68,499.06,-56.9833333333333
"154",1660,120.85,118.15,-447.81,33.6,274.51,507.23,-56.8016666666667
"155",1670,121.61,118.97,-448.1,17,277.86,515.59,-56.85
"156",1680,122.36,119.78,-447.17,24.43,278.75,527.43,-56.695
"157",1690,123.1,120.57,-441.91,30.1,275.28,539.27,-55.8183333333333
"158",1700,123.83,121.36,-442.83,5,271.81,547.55,-55.9716666666667
"159",1710,124.54,122.12,-436.6,7,269.32,553.45,-54.9333333333333
"160",1720,125.25,122.87,-438.57,58,266.93,557.96,-55.2616666666667
"161",1730,125.95,123.61,-443.29,22.88,265.96,560.37,-56.0483333333333
"162",1740,126.65,124.33,-439.33,16,268.01,564.12,-55.3883333333333
"163",1750,127.34,125.04,-434.71,48,270.06,570.75,-54.6183333333333
"164",1760,128.04,125.76,-436.55,17.8,272.11,577.37,-54.925
"165",1770,128.74,126.48,-435.07,12.33,274.16,584,-54.6783333333333
"166",1780,129.44,127.19,-437.07,25.67,273.23,585.04,-55.0116666666667
"167",1790,130.15,127.9,-435.33,26.2,270.22,586.6,-54.7216666666667
"168",1800,130.86,128.61,-430.06,24,267.22,594.07,-53.8433333333333
"169",1810,131.57,129.33,-425.54,55.06,269.27,601.54,-53.09
