,profundidad,Edad_del_hielo,Edad_del_gas,delta.D,polvo,CO2,CH4,TEMP_?D,tazaTemp,tazaCO2,tazaCH4
28,400,18.26,14.52,-493.46,389,220.02,424.48,-64.41,-0.054852320675056,15.5,43.1153846153863
29,410,19.05,15.18,-493.2,522.14,209.79,413.27,-64.3666666666667,1.16025641025642,15.7538461538461,-2.06445672191528
30,420,19.83,15.83,-498.63,347.86,199.55,402.06,-65.2716666666667,-0.814583333333373,9.07042253521128,3.56521739130438
31,430,20.63,16.54,-494.72,603.33,193.11,388.12,-64.62,0.176829268292678,-0.399999999999991,-21.3908045977025
32,440,21.45,17.34,-495.59,668.43,193.43,369.51,-64.765,-1.62650602409638,-0.382716049382719,1.56296296296297
33,450,22.28,18.15,-487.49,267,193.74,356.85,-63.415,0.584337349397591,-0.387500000000002,-1.31615120274917
34,460,23.11,18.95,-490.4,364,194.05,353.02,-63.9,0.286585365853666,-0.399999999999991,16.7517730496451
35,470,23.93,19.75,-491.81,518.79,194.37,376.64,-64.135,1.0301204819277,-0.915662650602401,-2.21832358674464
36,480,24.76,20.58,-496.94,461.71,195.13,365.26,-64.99,-1.47023809523809,-1.2857142857143,2.06072874493926
37,490,25.6,21.42,-489.53,263.47,196.21,349.99,-63.755,-0.971887550200846,-1.2705882352941,-6.4938016528926
38,500,26.43,22.27,-484.69,166,197.29,381.42,-62.9483333333333,1.91468253968262,-1.2857142857143,2.25284974093265
39,510,27.27,23.11,-494.34,303.45,198.37,403.16,-64.5566666666667,-1.16867469879518,-1.2705882352941,1.35395189003437
40,520,28.1,23.96,-488.52,289.82,199.45,395.28,-63.5866666666667,0.787148594377464,-0.423529411764723,-2.0127551020408
41,530,28.93,24.81,-492.44,266,199.81,387.39,-64.24,-1.50823045267493,0.470588235294124,-0.58390177353343
42,540,29.74,25.66,-485.11,232,199.41,391.67,-63.0183333333333,0.82113821138219,0.458823529411748,3.9133663366337
43,550,30.56,26.51,-489.15,198,199.02,407.48,-63.6916666666667,-1.14227642276426,0.458823529411783,-1.59964412811388
44,560,31.38,27.36,-483.53,133.2,198.63,416.47,-62.755,-1.93827160493828,0.458823529411748,-0.268577494692143
45,570,32.19,28.21,-474.11,68.4,198.24,419,-61.185,0.514403292181109,-4.23809523809524,1.01199999999999
46,580,33,29.05,-476.61,71.26,201.8,421.53,-61.6016666666667,2.10548523206747,-11.3214285714286,0.377755511022049
47,590,33.79,29.89,-486.59,136.91,211.31,425.3,-63.265,-0.51666666666662,-11.4457831325301,-2.21370967741939
48,600,34.59,30.72,-484.11,241,220.81,430.79,-62.8516666666667,-0.576923076923085,3.82716049382714,-21.2703703703705
49,610,35.37,31.53,-481.41,104.48,217.71,488.22,-62.4016666666667,0.455696202531645,8.3658536585366,22.4444444444448
50,620,36.16,32.35,-483.57,88.83,210.85,536.7,-62.7616666666667,-0.805555555555642,4.17500000000002,7.57824933687008
51,630,36.94,33.15,-479.8,85.83,207.51,508.13,-62.1333333333333,0.272727272727273,-1.4375,-25.0079365079367
52,640,37.71,33.95,-481.06,80.42,208.66,476.62,-62.3433333333333,-0.041125541125449,-1.46835443037974,8.94736842105268
53,650,38.48,34.74,-480.87,75,209.82,474.92,-62.3116666666667,-2.0416666666667,0.43589743589744,-0.668098818474755
54,660,39.24,35.52,-471.56,88.13,209.48,481.14,-60.76,1.27922077922079,0.782051282051269,-1.34348561759729
55,670,40.01,36.3,-477.47,92.71,208.87,473.2,-61.745,-0.390350877193017,0.7948717948718,11.2359550561796
56,680,40.77,37.08,-475.69,74.35,208.25,453.2,-61.4483333333333,1.98903508771935,0.7948717948718,-2.20507166482911
57,690,41.53,37.86,-484.76,75.22,207.63,433.2,-62.96,-0.331168831168836,0.782051282051262,4.02614379084972
58,700,42.3,38.64,-483.23,187,207.02,427.04,-62.705,0.449561403508818,7.60526315789476,2.74634146341469
59,710,43.06,39.4,-485.28,135.75,201.24,432.67,-63.0466666666667,-0.401315789473685,7.81578947368423,-3.07650273224046
